[	6.9999999999999996e-01	-1.9227569134484682e-01	-7.0827550156003871e-01	1.3146758796452834e-01	6.5216156919762713e-01	7.4824287104228915e-01	8.5543315000306936e+00	-2.6901170029294419e+00	-7.4024864220927507e+00	-5.4768040568650900e+00	-2.1046385551672170e+01	5.5257696165975745e-01	]
[	7.3333333333333328e-01	-1.4616355196504532e-01	-7.2356700887572267e-01	9.7230653904105416e-02	6.2588891824799031e-01	6.3888633059115429e-01	8.8693111633269890e+00	-3.0039673223659022e+00	-5.5891456898051226e+00	-4.4621351818236228e+00	-2.0606476934271168e+01	5.7888815578899833e-01	]
[	7.6666666666666672e-01	-1.0017562594983880e-01	-7.4048311622814411e-01	7.1717817559188407e-02	6.0587349924311107e-01	5.3377752777367138e-01	8.4993982266519161e+00	-3.2819125002810443e+00	-4.0837293978807949e+00	-3.0952932723977478e+00	-1.9416242698444574e+01	6.0519852221513848e-01	]
[	8.0000000000000004e-01	-5.7249294033507772e-02	-7.5902204975007648e-01	5.3645945952314963e-02	5.9458887118445614e-01	4.3650574718633872e-01	7.7588755657903663e+00	-3.6758777831486502e+00	-2.7866664177066318e+00	-1.1393938189311619e+00	-1.7581152002429370e+01	6.3150925966502314e-01	]
[	8.3333333333333337e-01	-1.8852136797509168e-02	-7.7839604795890549e-01	4.0571276721076681e-02	5.9104250744380893e-01	3.5106471148685825e-01	6.7792584189491727e+00	-3.6007607777818715e+00	-2.1837582962949895e+00	-2.2353915395651458e-01	-1.4895781077379743e+01	6.5783134107792074e-01	]
[	8.6666666666666670e-01	1.4221062255401143e-02	-7.9699035056736778e-01	3.0020834464254562e-02	5.9167387551343897e-01	2.8067132919996379e-01	5.7520039528729017e+00	-3.4007219115692573e+00	-1.8314041652844284e+00	4.1760133379370840e-01	-1.1852786421162689e+01	6.8416438938943769e-01	]
[	9.0000000000000002e-01	4.2430832612561836e-02	-8.1565910420313581e-01	2.1455542220099301e-02	5.9719864046096038e-01	2.2646991039019843e-01	4.9114383669637256e+00	-3.5972146590009619e+00	-1.4152767009541758e+00	1.6127931748099991e+00	-8.7647478110963064e+00	7.1048222808863093e-01	]
[	9.3333333333333335e-01	6.6962976024250442e-02	-8.3568809490388130e-01	1.3726787571982221e-02	6.0644144071842099e-01	1.8997877462140361e-01	4.3472382135269880e+00	-3.9110074249183855e+00	-1.5051540677935955e+00	1.7849756198418345e+00	-5.1308742746299290e+00	7.3681018035005219e-01	]
[	9.6666666666666667e-01	8.9224928855650171e-02	-8.5801259820104359e-01	4.8937465587471926e-03	6.1502818763093381e-01	1.7325963647747633e-01	4.0505291461256911e+00	-4.4715828901614714e+00	-1.8316489169734256e+00	1.3525482141547958e+00	-1.2584406672916693e+00	7.6313697276028436e-01	]
[	1.0000000000000000e+00	9.9999999999356409e-02	-8.7000000000000233e-01	9.0395562409144188e-16	6.1880446679980361e-01	1.6999999999999646e-01	-4.1495658904933371e-03	-2.5950929487311685e-03	-1.0970437193262888e-02	-9.9755978840381822e-04	-6.8009764757062160e-03	7.8945886905478790e-01	]
